,logFC,AveExpr,t,P.Value,adj.P.Val,B
pcdh1gb9,0.037696497,7.463018832,0.819792616,0.435631615,0.627136808,-7.226556767
stk3,0.072681131,5.023298943,0.819789002,0.435633562,0.627136808,-6.847312193
gramd4b,-0.065388736,4.681788579,-0.819550902,0.435761807,0.627260207,-6.763741328
e2f8,0.117097296,3.567847046,0.819521936,0.43577741,0.627260207,-6.462871312
gjb10,-0.141942861,2.380297224,-0.819377604,0.435855165,0.627268536,-6.094772761
LOC101884949,0.085530162,3.060148197,0.819352092,0.435868909,0.627268536,-6.307734362
zgc:136333,-0.120921395,2.608754273,-0.819329724,0.435880961,0.627268536,-6.164011895
cacng4a,-0.233070152,-0.387107983,-0.81929539,0.435899459,0.627268536,-5.397863925
plekha5,0.073498058,6.377175516,0.819234549,0.435932241,0.627273882,-7.101007641
pcdh2ab6,0.121356017,2.929405354,0.818868245,0.436129642,0.627474254,-6.268227588
pcdh2ab7,0.121356017,2.929405354,0.818868245,0.436129642,0.627474254,-6.268227588
LOC137489725,-0.211691886,0.978470597,-0.818649838,0.436247372,0.627581199,-5.698555486
rpp38,0.146227562,2.43953792,0.818622451,0.436262136,0.627581199,-6.11874265
alkal2a,-0.21763681,1.186400868,-0.818532275,0.436310751,0.6276093,-5.75152487
fbxo22,-0.097629902,3.823679379,-0.818456986,0.436351344,0.627625857,-6.533703218
LOC101882440,-0.401111232,-0.190113097,-0.817917182,0.436642459,0.628002726,-5.434676583
tmem163a,0.354239357,1.552283009,0.817727129,0.436744985,0.628108325,-5.860685092
trrap,-0.119288094,5.58726917,-0.817547863,0.436841708,0.628205564,-6.964683713
LOC101883476,-0.345617041,-0.068270844,-0.817490997,0.436872393,0.62820783,-5.461088574
tfb1m,0.06106575,4.328134769,0.817290752,0.436980458,0.628299087,-6.677906315
gdf6b,-0.313540719,-0.709391001,-0.817265508,0.436994082,0.628299087,-5.338904545
si:dkey-11o15.4,0.253733345,-0.372820857,0.817123961,0.437070483,0.628334138,-5.406099088
epoa,-0.180740303,1.104748169,-0.817106335,0.437079997,0.628334138,-5.732431058
s100v1,0.048496426,5.00672694,0.817019641,0.437126795,0.628334138,-6.845428191
gigyf1b,-0.109127099,5.333293827,-0.817004588,0.437134922,0.628334138,-6.913842508
irx7,0.117488377,2.470348362,0.81678876,0.437251444,0.628352334,-6.129100142
LOC100538160,-0.075188873,3.678837633,-0.816710685,0.437293602,0.628352334,-6.493489364
fndc5a,0.384436393,-0.288065383,0.816675576,0.43731256,0.628352334,-5.423382074
LOC137487708,0.13230622,1.380538622,0.816638441,0.437332613,0.628352334,-5.811089697
eef1db,-0.030597511,7.638040216,-0.816579277,0.437364562,0.628352334,-7.24510471
mmab,0.099082413,2.580032962,0.81655604,0.437377111,0.628352334,-6.16231072
ell,0.042867179,5.200886418,0.81653534,0.43738829,0.628352334,-6.888793592
si:ch211-168f7.5,-0.073128462,4.638236362,-0.816534381,0.437388808,0.628352334,-6.755471153
smim20,0.149463183,2.174584483,0.816444077,0.437437579,0.628352334,-6.041544777
eea1,-0.06476392,5.324377323,-0.816263133,0.437535313,0.628352334,-6.913396724
gtf2f2a,-0.073632789,4.950178422,-0.816207616,0.437565303,0.628352334,-6.830724244
nedd9,0.169533035,2.985775149,0.816198929,0.437569996,0.628352334,-6.28877792
yars2,0.076044643,3.810708098,0.816195474,0.437571862,0.628352334,-6.535922823
bicc1a,-0.123120034,3.70461029,-0.816173393,0.437583791,0.628352334,-6.499797599
hck,-0.187095967,1.951580042,-0.816172411,0.437584321,0.628352334,-5.969341254
kansl2,-0.082704209,4.698551186,-0.816071119,0.437639044,0.628389102,-6.770538218
LOC100331996,-0.161084136,2.287512304,-0.815965268,0.437696234,0.628413473,-6.069704485
mief1,0.086962045,4.820650685,0.815864613,0.437750621,0.628413473,-6.803649562
znf569l,0.163457963,0.866342761,0.815848108,0.43775954,0.628413473,-5.676775427
LOC108179160,0.350029537,-0.816426422,0.815824139,0.437772492,0.628413473,-5.324979078
LOC103910577,-0.310903542,0.069764748,-0.815486586,0.437954925,0.628633537,-5.491354696
tmem68,0.080142525,3.464718511,0.815315471,0.438047425,0.628702875,-6.434943468
phc3,-0.151616081,1.123039011,-0.815289444,0.438061495,0.628702875,-5.739096885
kmt2a,0.032632098,6.793520155,0.815111426,0.438157744,0.628777952,-7.159797661
